code,nr,gebied,gebiednaam,provincie,WOZ,stedelijkheid,OAD,ligging,abw_totaal,abw_vrijst,abw_tweekap,abw_rijwoni,abw_meergez_laagb,abw_meergez_hoogb,abw_koop,abw_soc_huur,abw_part_huur,abw_1_pers,abw_2_pers,abw_3_pers,aapbw_totaal,aapbw_koop_vrijst,aapbw_koop_tweekap,aapbw_koop_rijwoni,aapbw_koop_meergez_laagb,aapbw_koop_meergez_hoogb,aapbw_soc_huur_vrijst,aapbw_soc_huur_tweekap,aapbw_soc_huur_rijwoni,aapbw_soc_huur_meergez_laagb,aapbw_soc_huur_meergez_hoogb,aapbw_part_huur_vrijst,aapbw_part_huur_tweekap,aapbw_part_huur_rijwoni,aapbw_part_meergez_laagb,aapbw_part_meergez_hoogb
GM0163,34,gemeente,Hellendoorn,,242,4,811,,14600,0.291,0.182,0.403,0.113,0.011,0.730,0.216,0.054,0.268,0.365,0.366,1.4,1.8,1.6,1.5,1.0,1.0,0.4,0.9,0.9,0.5,0.5,1.4,1.2,1.0,0.9,0.9
GM0164,35,gemeente,Hengelo,,186,2,1838,,37400,0.123,0.149,0.451,0.230,0.048,0.574,0.317,0.108,0.374,0.334,0.292,1.1,1.7,1.4,1.4,1.0,1.0,1.0,0.8,0.8,0.5,0.5,1.3,0.8,0.9,0.6,0.6
GM0166,36,gemeente,Kampen,,216,3,1467,,22100,0.116,0.107,0.559,0.172,0.045,0.641,0.260,0.098,0.305,0.331,0.364,1.2,1.9,1.6,1.3,1.0,1.0,,0.9,0.8,0.5,0.5,1.6,1.0,0.9,0.5,0.6
GM0168,37,gemeente,Losser,,229,4,742,,9500,0.304,0.217,0.377,0.101,0.000,0.695,0.202,0.103,0.272,0.377,0.351,1.4,1.8,1.6,1.5,1.1,1.1,0.2,0.9,0.9,0.6,0.6,1.3,1.1,1.0,0.5,0.5
GM0171,38,gemeente,Noordoostpolder,,197,4,741,,19200,0.193,0.125,0.565,0.096,0.021,0.674,0.251,0.075,0.292,0.353,0.356,1.4,2.1,1.7,1.5,1.0,1.0,,0.9,0.9,0.5,0.5,1.7,1.2,1.0,0.4,0.4
GM0173,39,gemeente,Oldenzaal,,228,3,1471,,14200,0.149,0.110,0.537,0.175,0.028,0.627,0.295,0.078,0.340,0.347,0.313,1.2,1.7,1.5,1.4,1.1,0.9,0.6,0.7,0.8,0.5,0.5,1.3,1.1,0.9,0.8,0.7
GM0175,40,gemeente,Ommen,,254,4,502,,7400,0.390,0.162,0.305,0.127,0.016,0.715,0.186,0.099,0.287,0.367,0.346,1.4,1.9,1.6,1.5,1.0,0.9,1.1,1.2,0.9,0.5,0.5,1.5,1.1,1.2,0.9,0.9
GM0177,41,gemeente,Raalte,,245,4,663,,15700,0.299,0.184,0.417,0.099,0.001,0.696,0.240,0.064,0.277,0.377,0.346,1.4,1.8,1.6,1.5,0.9,0.9,,1.1,0.9,0.5,0.5,1.4,1.2,1.2,0.6,0.6
GM0180,42,gemeente,Staphorst,,264,5,356,,5900,0.494,0.225,0.225,0.056,0.000,0.776,0.114,0.110,0.235,0.307,0.458,1.7,2.1,1.8,1.7,1.3,1.3,,1.0,1.0,0.5,0.5,1.5,1.4,1.5,0.6,0.6
GM0183,43,gemeente,Tubbergen,,269,5,289,,8200,0.536,0.204,0.174,0.086,0.000,0.732,0.129,0.138,0.249,0.331,0.420,1.6,1.9,1.7,1.6,1.3,1.3,,1.1,0.9,0.6,0.6,1.6,1.4,1.2,0.7,0.7
GM0184,44,gemeente,Urk,,223,3,1073,,6500,0.089,0.151,0.627,0.131,0.002,0.784,0.145,0.071,0.206,0.239,0.555,1.2,1.6,1.4,1.3,0.9,0.9,,0.8,0.9,0.4,0.4,1.4,1.0,1.1,0.4,0.4
GM0189,45,gemeente,Wierden,,259,4,709,,9600,0.343,0.228,0.322,0.104,0.003,0.739,0.178,0.083,0.244,0.360,0.396,1.5,2.0,1.6,1.5,1.1,1.1,,0.9,0.9,0.6,0.6,1.4,1.2,1.3,0.9,0.9
GM0193,46,gemeente,Zwolle,,232,2,2042,,57400,0.058,0.047,0.562,0.232,0.101,0.538,0.331,0.130,0.368,0.321,0.311,1.0,1.7,1.5,1.3,1.0,1.0,1.0,0.8,0.8,0.4,0.4,1.3,0.9,0.9,0.6,0.6
GM0197,47,gemeente,Aalten,,206,4,776,,11700,0.298,0.195,0.380,0.128,0.000,0.716,0.196,0.088,0.308,0.367,0.325,1.3,1.7,1.5,1.3,1.0,1.0,,0.8,0.8,0.4,0.4,1.2,1.1,1.0,0.5,0.5
GM0200,48,gemeente,Apeldoorn,,243,2,1745,,71400,0.176,0.108,0.438,0.200,0.077,0.610,0.288,0.102,0.335,0.352,0.314,1.2,1.8,1.6,1.4,1.0,1.0,0.6,1.0,0.8,0.5,0.5,1.6,1.2,1.0,0.6,0.6
GM0202,49,gemeente,Arnhem,,204,2,2205,,74300,0.031,0.048,0.461,0.334,0.126,0.446,0.363,0.191,0.407,0.303,0.290,1.0,1.7,1.6,1.4,1.0,1.0,1.1,0.7,0.7,0.5,0.5,1.8,1.1,1.1,0.6,0.6
