code;nr;gebied;gebiednaam;provincie;WOZ;stedelijkheid;OAD;ligging;abw_totaal;abw_vrijst;abw_tweekap;abw_rijwoni;abw_meergez_laagb;abw_meergez_hoogb;abw_koop;abw_soc_huur;abw_part_huur;abw_1_pers;abw_2_pers;abw_3_pers;aapbw_totaal;aapbw_koop_vrijst;aapbw_koop_tweekap;aapbw_koop_rijwoni;aapbw_koop_meergez_laagb;aapbw_koop_meergez_hoogb;aapbw_soc_huur_vrijst;aapbw_soc_huur_tweekap;aapbw_soc_huur_rijwoni;aapbw_soc_huur_meergez_laagb;aapbw_soc_huur_meergez_hoogb;aapbw_part_huur_vrijst;aapbw_part_huur_tweekap;aapbw_part_huur_rijwoni;aapbw_part_meergez_laagb;aapbw_part_meergez_hoogb
GM0150;30;gemeente;Deventer;;206;2;1823;;45000;10,2%;8,0%;51,5%;25,3%;5,0%;56,3%;30,3%;13,5%;35,7%;33,3%;31,1%;1,1;1,8;1,5;1,3;1,0;0,9;0,7;0,9;0,7;0,4;0,5;1,4;1,1;0,9;0,6;0,6
GM0153;31;gemeente;Enschede;;181;2;2157;;72500;8,8%;13,1%;43,8%;25,3%;9,0%;49,5%;37,9%;12,6%;38,2%;31,9%;29,9%;1,0;1,8;1,4;1,4;1,0;1,0;0,8;0,8;0,8;0,5;0,5;1,4;0,8;0,8;0,4;0,4
GM0158;32;gemeente;Haaksbergen;;235;3;1036;;10300;25,3%;21,6%;40,1%;13,0%;0,0%;69,5%;22,1%;8,4%;29,4%;36,4%;34,2%;1,4;1,9;1,6;1,5;1,1;;;1,0;0,9;0,4;;1,5;1,3;1,0;0,4;
GM0160;33;gemeente;Hardenberg;;217;4;556;;24200;33,7%;17,9%;36,1%;10,6%;1,6%;71,2%;21,5%;7,3%;27,4%;34,9%;37,7%;1,5;2,0;1,7;1,5;1,0;1,0;1,5;0,9;0,9;0,5;0,6;1,5;1,3;1,2;0,9;0,7
GM0163;34;gemeente;Hellendoorn;;242;4;811;;14600;29,1%;18,2%;40,3%;11,3%;1,1%;73,0%;21,6%;5,4%;26,8%;36,5%;36,6%;1,4;1,8;1,6;1,5;1,0;1,0;0,4;0,9;0,9;0,5;0,5;1,4;1,2;1,0;0,9;0,8
GM0164;35;gemeente;Hengelo;;186;2;1838;;37400;12,3%;14,9%;45,1%;23,0%;4,8%;57,4%;31,7%;10,8%;37,4%;33,4%;29,2%;1,1;1,7;1,4;1,4;1,0;1,0;1,0;0,8;0,8;0,5;0,5;1,3;0,8;0,9;0,6;0,6
GM0166;36;gemeente;Kampen;;216;3;1467;;22100;11,6%;10,7%;55,9%;17,2%;4,5%;64,1%;26,0%;9,8%;30,5%;33,1%;36,4%;1,2;1,9;1,6;1,3;1,0;1,0;;0,9;0,8;0,5;0,6;1,6;1,0;0,9;0,5;0,8
GM0168;37;gemeente;Losser;;229;4;742;;9500;30,4%;21,7%;37,7%;10,1%;0,0%;69,5%;20,2%;10,3%;27,2%;37,7%;35,1%;1,4;1,8;1,6;1,5;1,1;;0,2;0,9;0,9;0,6;;1,3;1,1;1,0;0,5;
GM0171;38;gemeente;Noordoostpolder;;197;4;741;;19200;19,3%;12,5%;56,5%;9,6%;2,1%;67,4%;25,1%;7,5%;29,2%;35,3%;35,6%;1,4;2,1;1,7;1,5;1,0;1,0;;0,9;0,9;0,5;0,5;1,7;1,2;1,0;0,4;0,3
GM0173;39;gemeente;Oldenzaal;;228;3;1471;;14200;14,9%;11,0%;53,7%;17,5%;2,8%;62,7%;29,5%;7,8%;34,0%;34,7%;31,3%;1,2;1,7;1,5;1,4;1,1;;0,6;0,7;0,8;0,5;0,5;1,3;1,1;0,9;0,8;0,1
